aqi,city_name,city_url,co,crawl_time,date,level,no_2,o3,pm10,pm2_5,so_2,spider
,吉安,https://www.aqistudy.cn/historydata/monthdata.php?city=吉安,,,,,,,,,,
,金昌,https://www.aqistudy.cn/historydata/monthdata.php?city=金昌,,,,,,,,,,
,晋城,https://www.aqistudy.cn/historydata/monthdata.php?city=晋城,,,,,,,,,,
,景德镇,https://www.aqistudy.cn/historydata/monthdata.php?city=景德镇,,,,,,,,,,
,西双版纳州,https://www.aqistudy.cn/historydata/monthdata.php?city=西双版纳州,,,,,,,,,,
,金华,https://www.aqistudy.cn/historydata/monthdata.php?city=金华,,,,,,,,,,
,九江,https://www.aqistudy.cn/historydata/monthdata.php?city=九江,,,,,,,,,,
,吉林,https://www.aqistudy.cn/historydata/monthdata.php?city=吉林,,,,,,,,,,
,荆门,https://www.aqistudy.cn/historydata/monthdata.php?city=荆门,,,,,,,,,,
,江门,https://www.aqistudy.cn/historydata/monthdata.php?city=江门,,,,,,,,,,
,即墨,https://www.aqistudy.cn/historydata/monthdata.php?city=即墨,,,,,,,,,,
,佳木斯,https://www.aqistudy.cn/historydata/monthdata.php?city=佳木斯,,,,,,,,,,
,济南,https://www.aqistudy.cn/historydata/monthdata.php?city=济南,,,,,,,,,,
,济宁,https://www.aqistudy.cn/historydata/monthdata.php?city=济宁,,,,,,,,,,
,胶南,https://www.aqistudy.cn/historydata/monthdata.php?city=胶南,,,,,,,,,,
,酒泉,https://www.aqistudy.cn/historydata/monthdata.php?city=酒泉,,,,,,,,,,
,句容,https://www.aqistudy.cn/historydata/monthdata.php?city=句容,,,,,,,,,,
,湘西州,https://www.aqistudy.cn/historydata/monthdata.php?city=湘西州,,,,,,,,,,
,金坛,https://www.aqistudy.cn/historydata/monthdata.php?city=金坛,,,,,,,,,,
,嘉兴,https://www.aqistudy.cn/historydata/monthdata.php?city=嘉兴,,,,,,,,,,
,鸡西,https://www.aqistudy.cn/historydata/monthdata.php?city=鸡西,,,,,,,,,,
,济源,https://www.aqistudy.cn/historydata/monthdata.php?city=济源,,,,,,,,,,
,揭阳,https://www.aqistudy.cn/historydata/monthdata.php?city=揭阳,,,,,,,,,,
,江阴,https://www.aqistudy.cn/historydata/monthdata.php?city=江阴,,,,,,,,,,
,嘉峪关,https://www.aqistudy.cn/historydata/monthdata.php?city=嘉峪关,,,,,,,,,,
,锦州,https://www.aqistudy.cn/historydata/monthdata.php?city=锦州,,,,,,,,,,
,荆州,https://www.aqistudy.cn/historydata/monthdata.php?city=荆州,,,,,,,,,,
,晋中,https://www.aqistudy.cn/historydata/monthdata.php?city=晋中,,,,,,,,,,
,焦作,https://www.aqistudy.cn/historydata/monthdata.php?city=焦作,,,,,,,,,,
,胶州,https://www.aqistudy.cn/historydata/monthdata.php?city=胶州,,,,,,,,,,
,库尔勒,https://www.aqistudy.cn/historydata/monthdata.php?city=库尔勒,,,,,,,,,,
,开封,https://www.aqistudy.cn/historydata/monthdata.php?city=开封,,,,,,,,,,
,黔东南州,https://www.aqistudy.cn/historydata/monthdata.php?city=黔东南州,,,,,,,,,,
,克拉玛依,https://www.aqistudy.cn/historydata/monthdata.php?city=克拉玛依,,,,,,,,,,
,昆明,https://www.aqistudy.cn/historydata/monthdata.php?city=昆明,,,,,,,,,,
,昆山,https://www.aqistudy.cn/historydata/monthdata.php?city=昆山,,,,,,,,,,
,喀什地区,https://www.aqistudy.cn/historydata/monthdata.php?city=喀什地区,,,,,,,,,,
,临安,https://www.aqistudy.cn/historydata/monthdata.php?city=临安,,,,,,,,,,
,六安,https://www.aqistudy.cn/historydata/monthdata.php?city=六安,,,,,,,,,,
,来宾,https://www.aqistudy.cn/historydata/monthdata.php?city=来宾,,,,,,,,,,
,聊城,https://www.aqistudy.cn/historydata/monthdata.php?city=聊城,,,,,,,,,,
,临沧,https://www.aqistudy.cn/historydata/monthdata.php?city=临沧,,,,,,,,,,
,乐东,https://www.aqistudy.cn/historydata/monthdata.php?city=乐东,,,,,,,,,,
,娄底,https://www.aqistudy.cn/historydata/monthdata.php?city=娄底,,,,,,,,,,
,廊坊,https://www.aqistudy.cn/historydata/monthdata.php?city=廊坊,,,,,,,,,,
,临汾,https://www.aqistudy.cn/historydata/monthdata.php?city=临汾,,,,,,,,,,
,临高,https://www.aqistudy.cn/historydata/monthdata.php?city=临高,,,,,,,,,,
,漯河,https://www.aqistudy.cn/historydata/monthdata.php?city=漯河,,,,,,,,,,
,丽江,https://www.aqistudy.cn/historydata/monthdata.php?city=丽江,,,,,,,,,,
,吕梁,https://www.aqistudy.cn/historydata/monthdata.php?city=吕梁,,,,,,,,,,
,陇南,https://www.aqistudy.cn/historydata/monthdata.php?city=陇南,,,,,,,,,,
,六盘水,https://www.aqistudy.cn/historydata/monthdata.php?city=六盘水,,,,,,,,,,
,丽水,https://www.aqistudy.cn/historydata/monthdata.php?city=丽水,,,,,,,,,,
,凉山州,https://www.aqistudy.cn/historydata/monthdata.php?city=凉山州,,,,,,,,,,
,拉萨,https://www.aqistudy.cn/historydata/monthdata.php?city=拉萨,,,,,,,,,,
,乐山,https://www.aqistudy.cn/historydata/monthdata.php?city=乐山,,,,,,,,,,
,陵水,https://www.aqistudy.cn/historydata/monthdata.php?city=陵水,,,,,,,,,,
,莱芜,https://www.aqistudy.cn/historydata/monthdata.php?city=莱芜,,,,,,,,,,
,临夏州,https://www.aqistudy.cn/historydata/monthdata.php?city=临夏州,,,,,,,,,,
,莱西,https://www.aqistudy.cn/historydata/monthdata.php?city=莱西,,,,,,,,,,
,辽源,https://www.aqistudy.cn/historydata/monthdata.php?city=辽源,,,,,,,,,,
,辽阳,https://www.aqistudy.cn/historydata/monthdata.php?city=辽阳,,,,,,,,,,
,溧阳,https://www.aqistudy.cn/historydata/monthdata.php?city=溧阳,,,,,,,,,,
,龙岩,https://www.aqistudy.cn/historydata/monthdata.php?city=龙岩,,,,,,,,,,
,洛阳,https://www.aqistudy.cn/historydata/monthdata.php?city=洛阳,,,,,,,,,,
,临沂,https://www.aqistudy.cn/historydata/monthdata.php?city=临沂,,,,,,,,,,
,连云港,https://www.aqistudy.cn/historydata/monthdata.php?city=连云港,,,,,,,,,,
,莱州,https://www.aqistudy.cn/historydata/monthdata.php?city=莱州,,,,,,,,,,
,林芝,https://www.aqistudy.cn/historydata/monthdata.php?city=林芝,,,,,,,,,,
,泸州,https://www.aqistudy.cn/historydata/monthdata.php?city=泸州,,,,,,,,,,
,柳州,https://www.aqistudy.cn/historydata/monthdata.php?city=柳州,,,,,,,,,,
,兰州,https://www.aqistudy.cn/historydata/monthdata.php?city=兰州,,,,,,,,,,
,马鞍山,https://www.aqistudy.cn/historydata/monthdata.php?city=马鞍山,,,,,,,,,,
,牡丹江,https://www.aqistudy.cn/historydata/monthdata.php?city=牡丹江,,,,,,,,,,
,茂名,https://www.aqistudy.cn/historydata/monthdata.php?city=茂名,,,,,,,,,,
,眉山,https://www.aqistudy.cn/historydata/monthdata.php?city=眉山,,,,,,,,,,
,绵阳,https://www.aqistudy.cn/historydata/monthdata.php?city=绵阳,,,,,,,,,,
,梅州,https://www.aqistudy.cn/historydata/monthdata.php?city=梅州,,,,,,,,,,
,宁波,https://www.aqistudy.cn/historydata/monthdata.php?city=宁波,,,,,,,,,,
,南充,https://www.aqistudy.cn/historydata/monthdata.php?city=南充,,,,,,,,,,
,南昌,https://www.aqistudy.cn/historydata/monthdata.php?city=南昌,,,,,,,,,,
,宁德,https://www.aqistudy.cn/historydata/monthdata.php?city=宁德,,,,,,,,,,
,南京,https://www.aqistudy.cn/historydata/monthdata.php?city=南京,,,,,,,,,,
,内江,https://www.aqistudy.cn/historydata/monthdata.php?city=内江,,,,,,,,,,
,怒江州,https://www.aqistudy.cn/historydata/monthdata.php?city=怒江州,,,,,,,,,,
,南宁,https://www.aqistudy.cn/historydata/monthdata.php?city=南宁,,,,,,,,,,
,南平,https://www.aqistudy.cn/historydata/monthdata.php?city=南平,,,,,,,,,,
,那曲地区,https://www.aqistudy.cn/historydata/monthdata.php?city=那曲地区,,,,,,,,,,
,南通,https://www.aqistudy.cn/historydata/monthdata.php?city=南通,,,,,,,,,,
,南阳,https://www.aqistudy.cn/historydata/monthdata.php?city=南阳,,,,,,,,,,
,平度,https://www.aqistudy.cn/historydata/monthdata.php?city=平度,,,,,,,,,,
,平顶山,https://www.aqistudy.cn/historydata/monthdata.php?city=平顶山,,,,,,,,,,
,普洱,https://www.aqistudy.cn/historydata/monthdata.php?city=普洱,,,,,,,,,,
,盘锦,https://www.aqistudy.cn/historydata/monthdata.php?city=盘锦,,,,,,,,,,
,蓬莱,https://www.aqistudy.cn/historydata/monthdata.php?city=蓬莱,,,,,,,,,,
,平凉,https://www.aqistudy.cn/historydata/monthdata.php?city=平凉,,,,,,,,,,
,莆田,https://www.aqistudy.cn/historydata/monthdata.php?city=莆田,,,,,,,,,,
,萍乡,https://www.aqistudy.cn/historydata/monthdata.php?city=萍乡,,,,,,,,,,
,濮阳,https://www.aqistudy.cn/historydata/monthdata.php?city=濮阳,,,,,,,,,,
,攀枝花,https://www.aqistudy.cn/historydata/monthdata.php?city=攀枝花,,,,,,,,,,
,青岛,https://www.aqistudy.cn/historydata/monthdata.php?city=青岛,,,,,,,,,,
,琼海,https://www.aqistudy.cn/historydata/monthdata.php?city=琼海,,,,,,,,,,
,秦皇岛,https://www.aqistudy.cn/historydata/monthdata.php?city=秦皇岛,,,,,,,,,,
,曲靖,https://www.aqistudy.cn/historydata/monthdata.php?city=曲靖,,,,,,,,,,
,齐齐哈尔,https://www.aqistudy.cn/historydata/monthdata.php?city=齐齐哈尔,,,,,,,,,,
,七台河,https://www.aqistudy.cn/historydata/monthdata.php?city=七台河,,,,,,,,,,
,黔西南州,https://www.aqistudy.cn/historydata/monthdata.php?city=黔西南州,,,,,,,,,,
,清远,https://www.aqistudy.cn/historydata/monthdata.php?city=清远,,,,,,,,,,
,庆阳,https://www.aqistudy.cn/historydata/monthdata.php?city=庆阳,,,,,,,,,,
,钦州,https://www.aqistudy.cn/historydata/monthdata.php?city=钦州,,,,,,,,,,
,衢州,https://www.aqistudy.cn/historydata/monthdata.php?city=衢州,,,,,,,,,,
,琼中,https://www.aqistudy.cn/historydata/monthdata.php?city=琼中,,,,,,,,,,
,泉州,https://www.aqistudy.cn/historydata/monthdata.php?city=泉州,,,,,,,,,,
,荣成,https://www.aqistudy.cn/historydata/monthdata.php?city=荣成,,,,,,,,,,
,日喀则,https://www.aqistudy.cn/historydata/monthdata.php?city=日喀则,,,,,,,,,,
,乳山,https://www.aqistudy.cn/historydata/monthdata.php?city=乳山,,,,,,,,,,
,日照,https://www.aqistudy.cn/historydata/monthdata.php?city=日照,,,,,,,,,,
,寿光,https://www.aqistudy.cn/historydata/monthdata.php?city=寿光,,,,,,,,,,
,韶关,https://www.aqistudy.cn/historydata/monthdata.php?city=韶关,,,,,,,,,,
,上海,https://www.aqistudy.cn/historydata/monthdata.php?city=上海,,,,,,,,,,
,绥化,https://www.aqistudy.cn/historydata/monthdata.php?city=绥化,,,,,,,,,,
,石河子,https://www.aqistudy.cn/historydata/monthdata.php?city=石河子,,,,,,,,,,
,石家庄,https://www.aqistudy.cn/historydata/monthdata.php?city=石家庄,,,,,,,,,,
,商洛,https://www.aqistudy.cn/historydata/monthdata.php?city=商洛,,,,,,,,,,
,三明,https://www.aqistudy.cn/historydata/monthdata.php?city=三明,,,,,,,,,,
,三门峡,https://www.aqistudy.cn/historydata/monthdata.php?city=三门峡,,,,,,,,,,
,遂宁,https://www.aqistudy.cn/historydata/monthdata.php?city=遂宁,,,,,,,,,,
,山南,https://www.aqistudy.cn/historydata/monthdata.php?city=山南,,,,,,,,,,
,四平,https://www.aqistudy.cn/historydata/monthdata.php?city=四平,,,,,,,,,,
,宿迁,https://www.aqistudy.cn/historydata/monthdata.php?city=宿迁,,,,,,,,,,
,商丘,https://www.aqistudy.cn/historydata/monthdata.php?city=商丘,,,,,,,,,,
,上饶,https://www.aqistudy.cn/historydata/monthdata.php?city=上饶,,,,,,,,,,
,汕头,https://www.aqistudy.cn/historydata/monthdata.php?city=汕头,,,,,,,,,,
,汕尾,https://www.aqistudy.cn/historydata/monthdata.php?city=汕尾,,,,,,,,,,
,绍兴,https://www.aqistudy.cn/historydata/monthdata.php?city=绍兴,,,,,,,,,,
,松原,https://www.aqistudy.cn/historydata/monthdata.php?city=松原,,,,,,,,,,
,沈阳,https://www.aqistudy.cn/historydata/monthdata.php?city=沈阳,,,,,,,,,,
,十堰,https://www.aqistudy.cn/historydata/monthdata.php?city=十堰,,,,,,,,,,
,三亚,https://www.aqistudy.cn/historydata/monthdata.php?city=三亚,,,,,,,,,,
,邵阳,https://www.aqistudy.cn/historydata/monthdata.php?city=邵阳,,,,,,,,,,
,双鸭山,https://www.aqistudy.cn/historydata/monthdata.php?city=双鸭山,,,,,,,,,,
,朔州,https://www.aqistudy.cn/historydata/monthdata.php?city=朔州,,,,,,,,,,
,苏州,https://www.aqistudy.cn/historydata/monthdata.php?city=苏州,,,,,,,,,,
,宿州,https://www.aqistudy.cn/historydata/monthdata.php?city=宿州,,,,,,,,,,
,随州,https://www.aqistudy.cn/historydata/monthdata.php?city=随州,,,,,,,,,,
,深圳,https://www.aqistudy.cn/historydata/monthdata.php?city=深圳,,,,,,,,,,
,石嘴山,https://www.aqistudy.cn/historydata/monthdata.php?city=石嘴山,,,,,,,,,,
,泰安,https://www.aqistudy.cn/historydata/monthdata.php?city=泰安,,,,,,,,,,
,铜川,https://www.aqistudy.cn/historydata/monthdata.php?city=铜川,,,,,,,,,,
,屯昌,https://www.aqistudy.cn/historydata/monthdata.php?city=屯昌,,,,,,,,,,
,太仓,https://www.aqistudy.cn/historydata/monthdata.php?city=太仓,,,,,,,,,,
,塔城地区,https://www.aqistudy.cn/historydata/monthdata.php?city=塔城地区,,,,,,,,,,
,通化,https://www.aqistudy.cn/historydata/monthdata.php?city=通化,,,,,,,,,,
,天津,https://www.aqistudy.cn/historydata/monthdata.php?city=天津,,,,,,,,,,
,铁岭,https://www.aqistudy.cn/historydata/monthdata.php?city=铁岭,,,,,,,,,,
,铜陵,https://www.aqistudy.cn/historydata/monthdata.php?city=铜陵,,,,,,,,,,
,通辽,https://www.aqistudy.cn/historydata/monthdata.php?city=通辽,,,,,,,,,,
